Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings
51,1658860000000,26/07/2022 18:06,6842748,3,49,Neither Agree nor Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",2,For,I want to be protected,Hesitant,4
52,1658860000000,26/07/2022 18:07,6842748,3,50,Neither Agree nor Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,For,i dont want to put strain on the health services,Hesitant,4
53,1658860000000,26/07/2022 18:07,6842748,3,51,Strongly Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",3,For,The government has told me to do so.,Hesitant,1
54,1658860000000,26/07/2022 18:07,6842748,3,52,Somewhat Agree,statements,48,Rarely,Rarely,38,Male,A levels,3,Against,I'm not in an at risk group and the probability of becoming seriously ill is low.,Hesitant,5
55,1658860000000,26/07/2022 18:07,6842748,3,53,Strongly Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,Against,i have had covid already,Hesitant,1
56,1658860000000,26/07/2022 18:07,6842748,3,54,Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",2,Against,It is not needed as there is no threat,Hesitant,6
57,1658860000000,26/07/2022 18:07,6842748,3,55,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",1,Against,"I don't want it because it has been massed produced under a year, when it takes on average 10 years to produce a vaccine for public release.",Hesitant,7
58,1658860000000,26/07/2022 18:07,6842748,3,56,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,Vulnerable person likely to become very ill with covid,Hesitant,4
59,1658860000000,26/07/2022 18:07,6842748,3,57,Disagree,statements,43,Most weeks,Most months,25,Male,A levels,2,For,I am scared of getting covid and will try anything to lower risk,Hesitant,2
60,1658860000000,26/07/2022 18:07,6842748,3,58,Strongly Agree,statements,48,Rarely,Rarely,38,Male,A levels,2,Against,The side effects are being under reported.,Hesitant,7
61,1658860000000,26/07/2022 18:07,6842748,3,59,Strongly Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,Against,It's been rushed so I am not ready to take it,Hesitant,7
62,1658860000000,26/07/2022 18:07,6842748,3,60,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",2,Against,"Nanoparticles within the vaccine, MRNA changing DNA within the human body. Multiple videos on the internet showing adverse reactions to the vaccine",Hesitant,7
63,1658860000000,26/07/2022 18:08,6842748,3,61,Somewhat Disagree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,I can receive the vaccination passport and travel,Hesitant,3
64,1658860000000,26/07/2022 18:08,6842748,3,62,Somewhat Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,Against,i don't trust the pharmaceutical companies,Hesitant,5
3,1658860000000,26/07/2022 18:08,6842789,3,1,Strongly Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",2,Against,I am healthy and young so no benefit to me,Hesitant,7
4,1658860000000,26/07/2022 18:09,6842789,3,2,Strongly Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",3,For,The more people that are vaccinated the quicker things will return to normal,Hesitant,1
5,1658860000000,26/07/2022 18:09,6842789,3,3,Strongly Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",3,Against,You can't trust vaccines as the pharmaceutical industry just wants to make money,Hesitant,7
6,1658860000000,26/07/2022 18:09,6842789,3,4,Strongly Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,For,i dont want to put strain on the health services,Hesitant,7
7,1658860000000,26/07/2022 18:09,6842789,3,5,Strongly Disagree,statements,43,Most weeks,Most months,25,Male,A levels,3,For,thinks it necessary,Hesitant,1
9,1658860000000,26/07/2022 18:09,6842789,3,7,Strongly Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",3,Against,I am not sure about the testing and long term effects (both positive and negative) of the vaccine.,Hesitant,7
10,1658860000000,26/07/2022 18:09,6842789,3,8,Strongly Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",3,For,I believe it is safe,Hesitant,1
11,1658860000000,26/07/2022 18:09,6842789,3,9,Strongly Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",1,For,It will protect me,Hesitant,1
12,1658860000000,26/07/2022 18:09,6842789,3,10,Strongly Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,Against,i have had covid already,Hesitant,7
13,1658860000000,26/07/2022 18:09,6842789,3,11,Strongly Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",3,For,It will mean I can meet family members,Hesitant,1
14,1658860000000,26/07/2022 18:09,6842789,3,12,Strongly Agree,statements,43,Most weeks,Most months,25,Male,A levels,1,Against,possible unsafe side effects,Hesitant,7
15,1658860000000,26/07/2022 18:09,6842789,3,13,Strongly Disagree,statements,48,Rarely,Rarely,38,Male,A levels,1,For,Being vaccinated enables lockdown to be rescinded.,Hesitant,1
16,1658860000000,26/07/2022 18:09,6842789,3,14,Strongly Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,Vulnerable person likely to become very ill with covid,Hesitant,1
17,1658860000000,26/07/2022 18:09,6842789,3,15,Strongly Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",1,For,I want to be immune from the disease,Hesitant,1
18,1658860000000,26/07/2022 18:09,6842789,3,16,Strongly Disagree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",3,For,I want to protect myself from covid 19,Hesitant,1
20,1658860000000,26/07/2022 18:09,6842789,3,18,Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,2,Against,covid doesn't kill you,Hesitant,6
21,1658860000000,26/07/2022 18:09,6842789,3,19,Strongly Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,"Feel I have to to be able to get back to ""normal""",Hesitant,1
22,1658860000000,26/07/2022 18:09,6842789,3,20,Strongly Agree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,Don't feel I need it,Hesitant,7
23,1658860000000,26/07/2022 18:10,6842789,3,21,Strongly Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,2,For,i want to protect others,Hesitant,1
24,1658860000000,26/07/2022 18:10,6842789,3,22,Strongly Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",3,Against,dont know enough about it,Hesitant,7
25,1658860000000,26/07/2022 18:10,6842789,3,23,Strongly Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",2,For,It has been approved so is safe,Hesitant,1
26,1658860000000,26/07/2022 18:10,6842789,3,24,Strongly Agree,statements,48,Rarely,Rarely,38,Male,A levels,1,Against,The government cannot be trusted to tell the truth.,Hesitant,7
27,1658860000000,26/07/2022 18:10,6842789,3,25,Strongly Agree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,Breastfeeding and not enough trials/evidence to support the effects of potential transmission to my baby through milk,Hesitant,7
28,1658860000000,26/07/2022 18:10,6842789,3,26,Strongly Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",3,For,The government has told me to do so.,Hesitant,1
29,1658860000000,26/07/2022 18:10,6842789,3,27,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",2,Against,"Nanoparticles within the vaccine, MRNA changing DNA within the human body. Multiple videos on the internet showing adverse reactions to the vaccine",Hesitant,7
30,1658860000000,26/07/2022 18:10,6842789,3,28,Strongly Agree,statements,43,Most weeks,Most months,25,Male,A levels,3,Against,can cause problems that werent there initially,Hesitant,7
31,1658860000000,26/07/2022 18:10,6842789,3,29,Strongly Disagree,statements,48,Rarely,Rarely,38,Male,A levels,2,For,Getting vaccinated helps reduce the spread of the virus.,Hesitant,1
32,1658860000000,26/07/2022 18:13,6842789,3,30,Strongly Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,Against,It's been rushed so I am not ready to take it,Hesitant,7
33,1658860000000,26/07/2022 18:15,6842789,3,31,Strongly Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",1,For,I trust the health care officials,Hesitant,1
34,1658860000000,26/07/2022 18:17,6842789,3,32,Strongly Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,New variants may arise and that would invalidate old vaccines already taken,Hesitant,7
35,1658860000000,26/07/2022 18:17,6842789,3,33,Strongly Disagree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",1,For,I want to protect my family and friends,Hesitant,1
36,1658860000000,26/07/2022 18:17,6842789,3,34,Strongly Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",3,Against,There could be side effects,Hesitant,7
37,1658860000000,26/07/2022 18:17,6842789,3,35,Strongly Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",1,Against,It is not safe and has not been tested properly,Hesitant,7
38,1658860000000,26/07/2022 18:17,6842789,3,36,Strongly Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,Against,i don't trust the pharmaceutical companies,Hesitant,7
39,1658860000000,26/07/2022 18:17,6842789,3,37,Strongly Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",2,Against,it was developed too fast,Hesitant,7
40,1658860000000,26/07/2022 18:17,6842789,3,38,Strongly Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",2,For,I want to prevent my ability to infect others,Hesitant,1
41,1658860000000,26/07/2022 18:17,6842789,3,39,Strongly Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,For,i want to protect myself,Hesitant,1
42,1658860000000,26/07/2022 18:17,6842789,3,40,Strongly Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",1,Against,the vaccine is not safe,Hesitant,7
43,1658860000000,26/07/2022 18:17,6842789,3,41,Strongly Disagree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,I can receive the vaccination passport and travel,Hesitant,1
44,1658860000000,26/07/2022 18:17,6842789,3,42,Strongly Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",2,Against,It is not needed as there is no threat,Hesitant,7
45,1658860000000,26/07/2022 18:17,6842789,3,43,Strongly Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,It has not been tested extensively on every demographic and race,Hesitant,7
46,1658860000000,26/07/2022 18:17,6842789,3,44,Strongly Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,It was made too quickly and compromises to its integrity may have been made,Hesitant,7
47,1658860000000,26/07/2022 18:17,6842789,3,45,Strongly Agree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,Against,Pregnant and dont want to risk my unborn childs life,Hesitant,7
48,1658860000000,26/07/2022 18:17,6842789,3,46,Strongly Disagree,statements,48,Rarely,Rarely,38,Male,A levels,3,For,I can interact with elderly members of my family.,Hesitant,1
49,1658860000000,26/07/2022 18:17,6842789,3,47,Strongly Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,To protect family and friends,Hesitant,1
50,1658860000000,26/07/2022 18:17,6842789,3,48,Strongly Disagree,statements,48,Rarely,Rarely,38,Male,A levels,2,Against,The side effects are being under reported.,Hesitant,1
51,1658860000000,26/07/2022 18:18,6842789,3,49,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",1,Against,"I don't want it because it has been massed produced under a year, when it takes on average 10 years to produce a vaccine for public release.",Hesitant,7
52,1658860000000,26/07/2022 18:18,6842789,3,50,Strongly Agree,statements,43,Most weeks,Most months,25,Male,A levels,2,Against,not knowing exactly whats in it,Hesitant,7
53,1658860000000,26/07/2022 18:18,6842789,3,51,Strongly Disagree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,I want to be able to visit vulnerable friends and loved ones without being a risk factor to them,Hesitant,1
54,1658860000000,26/07/2022 18:19,6842789,3,52,Strongly Agree,statements,48,Rarely,Rarely,38,Male,A levels,3,Against,I'm not in an at risk group and the probability of becoming seriously ill is low.,Hesitant,7
55,1658860000000,26/07/2022 18:19,6842789,3,53,Strongly Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",2,For,It will enable me to carry on as normal,Hesitant,1
56,1658860000000,26/07/2022 18:19,6842789,3,54,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",3,Against,Companies offering incentives to get the vaccine. Videos showing metal sticking to the arms of people in the position where the jab was taken- feels very suspect and untrustworthy promotion.,Hesitant,7
57,1658860000000,26/07/2022 18:19,6842789,3,55,Strongly Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,For,It will help protect vulnerable people,Hesitant,1
58,1658860000000,26/07/2022 18:19,6842789,3,56,Strongly Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",2,For,I want to be protected,Hesitant,1
59,1658860000000,26/07/2022 18:19,6842789,3,57,Strongly Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",2,Against,"I am not overweight or obese, nor have any underlying health conditions",Hesitant,7
60,1658860000000,26/07/2022 18:19,6842789,3,58,Strongly Disagree,statements,43,Most weeks,Most months,25,Male,A levels,1,For,I want to beable to go on holiday,Hesitant,1
61,1658860000000,26/07/2022 18:19,6842789,3,59,Strongly Disagree,statements,43,Most weeks,Most months,25,Male,A levels,2,For,I am scared of getting covid and will try anything to lower risk,Hesitant,1
62,1658860000000,26/07/2022 18:19,6842789,3,60,Strongly Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",1,Against,"I am young and healthy, therefore I am extremely low risk at developing serious complications from COVID",Hesitant,7
63,1658860000000,26/07/2022 18:19,6842789,3,61,Somewhat Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,I am tired of lockdown,Hesitant,5
64,1658860000000,26/07/2022 18:19,6842789,3,62,Somewhat Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",2,For,I want to return to 'normal life',Hesitant,5
3,1658860000000,26/07/2022 18:20,6842876,3,1,Somewhat Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",1,For,I want to protect my family and friends,Hesitant,5
4,1658860000000,26/07/2022 18:20,6842876,3,2,Neither Agree nor Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,2,Against,covid doesn't kill you,Hesitant,4
5,1658860000000,26/07/2022 18:20,6842876,3,3,Somewhat Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,Against,It's been rushed so I am not ready to take it,Hesitant,5
7,1658860000000,26/07/2022 18:20,6842876,3,5,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,For,"Feel I have to to be able to get back to ""normal""",Hesitant,4
8,1658860000000,26/07/2022 18:20,6842876,3,6,Strongly Agree,statements,48,Rarely,Rarely,38,Male,A levels,2,Against,The side effects are being under reported.,Hesitant,7
9,1658860000000,26/07/2022 18:20,6842876,3,7,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",2,Against,Breastfeeding and not enough trials/evidence to support the effects of potential transmission to my baby through milk,Hesitant,4
10,1658860000000,26/07/2022 18:20,6842876,3,8,Somewhat Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",3,For,I believe it is safe,Hesitant,3
11,1658860000000,26/07/2022 18:20,6842876,3,9,Strongly Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",2,Against,It is not needed as there is no threat,Hesitant,1
12,1658860000000,26/07/2022 18:20,6842876,3,10,Somewhat Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",1,Against,"I am young and healthy, therefore I am extremely low risk at developing serious complications from COVID",Hesitant,5
13,1658860000000,26/07/2022 18:21,6842876,3,11,Somewhat Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",3,Against,dont know enough about it,Hesitant,3
14,1658860000000,26/07/2022 18:21,6842876,3,12,Strongly Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,Against,i don't trust the pharmaceutical companies,Hesitant,7
15,1658860000000,26/07/2022 18:21,6842876,3,13,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,Against,Don't feel I need it,Hesitant,4
16,1658860000000,26/07/2022 18:21,6842876,3,14,Disagree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",1,For,I trust the health care officials,Hesitant,2
17,1658860000000,26/07/2022 18:21,6842876,3,15,Agree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,For,Vulnerable person likely to become very ill with covid,Hesitant,6
18,1658860000000,26/07/2022 18:21,6842876,3,16,Somewhat Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,2,For,i want to protect others,Hesitant,5
19,1658860000000,26/07/2022 18:21,6842876,3,17,Strongly Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",3,Against,Companies offering incentives to get the vaccine. Videos showing metal sticking to the arms of people in the position where the jab was taken- feels very suspect and untrustworthy promotion.,Hesitant,7
20,1658860000000,26/07/2022 18:21,6842876,3,18,Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",2,Against,it was developed too fast,Hesitant,6
21,1658860000000,26/07/2022 18:21,6842876,3,19,Strongly Agree,statements,48,Rarely,Rarely,38,Male,A levels,1,Against,The government cannot be trusted to tell the truth.,Hesitant,7
22,1658860000000,26/07/2022 18:21,6842876,3,20,Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",3,Against,I am not sure about the testing and long term effects (both positive and negative) of the vaccine.,Hesitant,6
23,1658860000000,26/07/2022 18:21,6842876,3,21,Neither Agree nor Disagree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",2,For,I want to return to 'normal life',Hesitant,4
24,1658860000000,26/07/2022 18:21,6842876,3,22,Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",1,Against,It is not safe and has not been tested properly,Hesitant,6
25,1658860000000,26/07/2022 18:21,6842876,3,23,Agree,statements,43,Most weeks,Most months,25,Male,A levels,1,Against,possible unsafe side effects,Hesitant,6
26,1658860000000,26/07/2022 18:21,6842876,3,24,Somewhat Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,New variants may arise and that would invalidate old vaccines already taken,Hesitant,5
27,1658860000000,26/07/2022 18:21,6842876,3,25,Somewhat Disagree,statements,48,Rarely,Rarely,38,Male,A levels,3,For,I can interact with elderly members of my family.,Hesitant,3
28,1658860000000,26/07/2022 18:21,6842876,3,26,Somewhat Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,It has not been tested extensively on every demographic and race,Hesitant,5
29,1658860000000,26/07/2022 18:21,6842876,3,27,Neither Agree nor Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",3,For,The government has told me to do so.,Hesitant,4
30,1658860000000,26/07/2022 18:21,6842876,3,28,Somewhat Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",2,For,It has been approved so is safe,Hesitant,3
31,1658860000000,26/07/2022 18:22,6842876,3,29,Neither Agree nor Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",1,For,It will protect me,Hesitant,4
32,1658860000000,26/07/2022 18:22,6842876,3,30,Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,It was made too quickly and compromises to its integrity may have been made,Hesitant,6
33,1658860000000,26/07/2022 18:22,6842876,3,31,Strongly Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",3,Against,There could be side effects,Hesitant,7
34,1658860000000,26/07/2022 18:22,6842876,3,32,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",3,For,To protect family and friends,Hesitant,4
35,1658860000000,26/07/2022 18:22,6842876,3,33,Somewhat Agree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",3,For,It will mean I can meet family members,Hesitant,5
36,1658860000000,26/07/2022 18:22,6842876,3,34,Somewhat Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",2,For,I want to be protected,Hesitant,5
37,1658860000000,26/07/2022 18:22,6842876,3,35,Somewhat Agree,statements,43,Most weeks,Most months,25,Male,A levels,2,Against,not knowing exactly whats in it,Hesitant,5
38,1658860000000,26/07/2022 18:22,6842876,3,36,Somewhat Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,For,i dont want to put strain on the health services,Hesitant,3
39,1658860000000,26/07/2022 18:22,6842876,3,37,Neither Agree nor Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",2,For,I want to prevent my ability to infect others,Hesitant,4
40,1658860000000,26/07/2022 18:22,6842876,3,38,Neither Agree nor Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,For,It will help protect vulnerable people,Hesitant,4
41,1658860000000,26/07/2022 18:22,6842876,3,39,Somewhat Disagree,statements,43,Most weeks,Most months,25,Male,A levels,2,For,I am scared of getting covid and will try anything to lower risk,Hesitant,3
42,1658860000000,26/07/2022 18:22,6842876,3,40,Agree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",2,Against,"Nanoparticles within the vaccine, MRNA changing DNA within the human body. Multiple videos on the internet showing adverse reactions to the vaccine",Hesitant,6
43,1658860000000,26/07/2022 18:22,6842876,3,41,Somewhat Agree,statements,45,Most weeks,A few times a year,34,Male,"Undergraduate degree (BSc, BA)",1,Against,the vaccine is not safe,Hesitant,5
44,1658860000000,26/07/2022 18:22,6842876,3,42,Neither Agree nor Disagree,statements,44,Rarely,Most weeks,26,Female,"Undergraduate degree (BSc, BA)",1,Against,Pregnant and dont want to risk my unborn childs life,Hesitant,4
45,1658860000000,26/07/2022 18:22,6842876,3,43,Strongly Agree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",3,Against,You can't trust vaccines as the pharmaceutical industry just wants to make money,Hesitant,7
47,1658860000000,26/07/2022 18:22,6842876,3,45,Neither Agree nor Disagree,statements,50,Most weeks,Most weeks,48,Male,"Undergraduate degree (BSc, BA)",2,For,It will enable me to carry on as normal,Hesitant,4
48,1658860000000,26/07/2022 18:22,6842876,3,46,Neither Agree nor Disagree,statements,43,Most weeks,Most months,25,Male,A levels,3,For,thinks it necessary,Hesitant,4
49,1658860000000,26/07/2022 18:22,6842876,3,47,Somewhat Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,I am tired of lockdown,Hesitant,5
50,1658860000000,26/07/2022 18:22,6842876,3,48,Somewhat Agree,statements,43,Most weeks,Most months,25,Male,A levels,1,For,I want to beable to go on holiday,Hesitant,5
51,1658860000000,26/07/2022 18:22,6842876,3,49,Neither Agree nor Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",3,For,The more people that are vaccinated the quicker things will return to normal,Hesitant,4
52,1658860000000,26/07/2022 18:23,6842876,3,50,Neither Agree nor Disagree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,For,i want to protect myself,Hesitant,4
53,1658860000000,26/07/2022 18:23,6842876,3,51,Neither Agree nor Disagree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",3,For,I want to protect myself from covid 19,Hesitant,4
54,1658860000000,26/07/2022 18:23,6842876,3,52,Neither Agree nor Disagree,statements,49,Rarely,Most months,35,Male,"GCSEs,A levels,Undergraduate degree (BSc, BA)",1,Against,"I don't want it because it has been massed produced under a year, when it takes on average 10 years to produce a vaccine for public release.",Hesitant,4
55,1658860000000,26/07/2022 18:23,6842876,3,53,Somewhat Agree,statements,43,Most weeks,Most months,25,Male,A levels,3,Against,can cause problems that werent there initially,Hesitant,5
56,1658860000000,26/07/2022 18:23,6842876,3,54,Neither Agree nor Disagree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,I want to be able to visit vulnerable friends and loved ones without being a risk factor to them,Hesitant,4
57,1658860000000,26/07/2022 18:23,6842876,3,55,Neither Agree nor Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",2,Against,I am healthy and young so no benefit to me,Hesitant,4
58,1658860000000,26/07/2022 18:23,6842876,3,56,Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,3,Against,i have had covid already,Hesitant,6
59,1658860000000,26/07/2022 18:23,6842876,3,57,Somewhat Disagree,statements,48,Rarely,Rarely,38,Male,A levels,1,For,Being vaccinated enables lockdown to be rescinded.,Hesitant,3
60,1658860000000,26/07/2022 18:23,6842876,3,58,Neither Agree nor Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",2,Against,"I am not overweight or obese, nor have any underlying health conditions",Hesitant,4
61,1658860000000,26/07/2022 18:23,6842876,3,59,Neither Agree nor Disagree,statements,48,Rarely,Rarely,38,Male,A levels,3,Against,I'm not in an at risk group and the probability of becoming seriously ill is low.,Hesitant,4
62,1658860000000,26/07/2022 18:23,6842876,3,60,Somewhat Agree,statements,41,Rarely,Most months,29,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,I can receive the vaccination passport and travel,Hesitant,5
63,1658860000000,26/07/2022 18:23,6842876,3,61,Neither Agree nor Disagree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",1,For,I want to be immune from the disease,Hesitant,4
64,1658860000000,26/07/2022 18:23,6842876,3,62,Somewhat Agree,statements,48,Rarely,Rarely,38,Male,A levels,2,For,Getting vaccinated helps reduce the spread of the virus.,Hesitant,5
3,1658860000000,26/07/2022 18:26,6842898,3,1,Somewhat Disagree,statements,47,Rarely,Most days,27,Female,"Undergraduate degree (BSc, BA)",1,Against,It's been rushed so I am not ready to take it,Hesitant,3
4,1658860000000,26/07/2022 18:26,6842898,3,2,Agree,statements,46,Most weeks,Most days,51,Female,GCSEs,1,For,i want to protect myself,Hesitant,6
5,1658860000000,26/07/2022 18:26,6842898,3,3,Agree,statements,42,Never,Rarely,24,Male,"Undergraduate degree (BSc, BA)",2,Against,"I am not overweight or obese, nor have any underlying health conditions",Hesitant,6
6,1658860000000,26/07/2022 18:26,6842898,3,4,Agree,statements,48,Rarely,Rarely,38,Male,A levels,3,For,I can interact with elderly members of my family.,Hesitant,6
