Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,rater_position,response_ratings
7,1647023762297,11/03/2022 18:36:02,6024499,2,4,Somewhat Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,1,For,Vegan diet is more healthy,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
8,1647023768430,11/03/2022 18:36:08,6024499,2,5,Somewhat Disagree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,3,Against,I love the taste of this meat,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,3
9,1647023774459,11/03/2022 18:36:14,6024499,2,6,Strongly Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",3,For,"not committing animal cruelty, being animal friendly, wanting animals to live good and long lives free of torture and pain",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
10,1647023778387,11/03/2022 18:36:18,6024499,2,7,Somewhat Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",1,Against,You will have difficulty when dining out as not many restaurants offer vegan choices,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,3
11,1647023781387,11/03/2022 18:36:21,6024499,2,8,Agree,statements,90,A few times a year,A few times a year,19,Male,A levels,3,For,To save the planet from the pollution that meat production creates.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,6
12,1647023785014,11/03/2022 18:36:25,6024499,2,9,Strongly Agree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",2,For,"By being vegan you will be healthier and less likely to develop heart disease, cancer and high blood pressure",Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
13,1647023796485,11/03/2022 18:36:36,6024499,2,10,Neither Agree nor Disagree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",3,Against,I am not vegan beacuse I think that the best way to be healty is to eat less of everything,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,4
14,1647023800687,11/03/2022 18:36:40,6024499,2,11,Strongly Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,2,Against,Without meat you cannot get essential elements,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
16,1647023810244,11/03/2022 18:36:50,6024499,2,13,Strongly Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",2,For,"Good for the planet, reducing animal slaugther which in turn reduces co2 emissions for a greener planet",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
17,1647023815957,11/03/2022 18:36:55,6024499,2,14,Somewhat Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,3,Against,don't want to be associated with vegans,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,3
18,1647023820061,11/03/2022 18:37:00,6024499,2,15,Agree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",1,For,I'm vegan because I hate Animal cruelty,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
19,1647023823217,11/03/2022 18:37:03,6024499,2,16,Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",2,Against,"Eating meat makes me strong, it is full of protein and good for my muscles",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,2
20,1647023834791,11/03/2022 18:37:14,6024499,2,17,Strongly Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",3,Against,"why should i a person that lives in modern european country, where the people are already trying to be friendlier to animals and the planet, stop eating meat, while there are 2 countries with billions",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
21,1647023837961,11/03/2022 18:37:17,6024499,2,18,Strongly Disagree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",1,Against,I am not vegan beacuse I think that it's not really good for health therefore you don't eat all kinds of nutritional elements,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
22,1647023847434,11/03/2022 18:37:27,6024499,2,19,Strongly Disagree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,1,Against,Id never survive without eating meats...the Zulu tribe believes that manufacturing should indulge on meat. Real man eat meatballs they would say.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
23,1647023854538,11/03/2022 18:37:34,6024499,2,20,Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",1,For,"standing and living for a healthier life and diet, eating healthier foods and fats, and taking away all animal products that may be unhealthy",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
24,1647023858012,11/03/2022 18:37:38,6024499,2,21,Strongly Disagree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",3,For,I became vegan only to follow a trend and because I think that it will help me to loose some weight,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
26,1647023865516,11/03/2022 18:37:45,6024499,2,23,Strongly Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",2,Against,you will have low energy and weight problems,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
27,1647023873951,11/03/2022 18:37:53,6024499,2,24,Neither Agree nor Disagree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,2,For,I want to try a new eating plan that doesn't involve eating of meats. It's due to my culture to not eat anything slaughtered.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
28,1647023876197,11/03/2022 18:37:56,6024499,2,25,Strongly Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",1,Against,"I like eating meat, it is something that gives joy to me and my family",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
29,1647023879687,11/03/2022 18:37:59,6024499,2,26,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",3,For,I'm vegan because meat prices are high,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
30,1647023881214,11/03/2022 18:38:01,6024499,2,27,Strongly Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,2,Against,Most vegan foods taste terrible.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
31,1647023884679,11/03/2022 18:38:04,6024499,2,28,Strongly Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,3,Against,There is not enough concrete evidence that a vegan diet can replace a diet that contains meat and animal products.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
32,1647023887217,11/03/2022 18:38:07,6024499,2,29,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",1,Against,I'm not vegan because meat tastes good,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
33,1647023889977,11/03/2022 18:38:09,6024499,2,30,Strongly Disagree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,Meat is tasty and not necessarily means pain to animals,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
34,1647023892470,11/03/2022 18:38:12,6024499,2,31,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",2,Against,"I'm not vegan because humans should eat animals, we're on the top of the chain",Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
35,1647023897428,11/03/2022 18:38:17,6024499,2,32,Somewhat Agree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",2,For,I choose to be vegan to have better health and eat less meat,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,5
36,1647023899679,11/03/2022 18:38:19,6024499,2,33,Strongly Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",3,Against,You will have leaky gut issues,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
37,1647023904147,11/03/2022 18:38:24,6024499,2,34,Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,Killing animals is unethical,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,6
38,1647023907010,11/03/2022 18:38:27,6024499,2,35,Strongly Disagree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,2,Against,i dont know how vegans can survive without meat,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
39,1647023914351,11/03/2022 18:38:34,6024499,2,36,Somewhat Agree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,3,For,my beliefs really condemn the consumption of meats or animal related products thus I will only stick to being Vegan.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
40,1647023918092,11/03/2022 18:38:38,6024499,2,37,Somewhat Agree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",2,For,I'm vegan because meat consumption boosts global warming,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
41,1647023924011,11/03/2022 18:38:44,6024499,2,38,Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,1,Against,It's too expensive and a waste of money.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,2
42,1647023927680,11/03/2022 18:38:47,6024499,2,39,Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,3,Against,There are animals that will extinct without farming,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
43,1647023943532,11/03/2022 18:39:03,6024499,2,40,Somewhat Agree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,1,For,if i am vegan it will protect the animals and this will make me feel better,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
44,1647023946980,11/03/2022 18:39:06,6024499,2,41,Strongly Disagree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",2,Against,I don't eat most of the vegetables so I would not be able to eat anything,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
45,1647023950302,11/03/2022 18:39:10,6024499,2,42,Agree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",1,For,By being vegan you save a lot of animals,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
46,1647023955198,11/03/2022 18:39:15,6024499,2,43,Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,Meat means killing animals,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,6
47,1647023959115,11/03/2022 18:39:19,6024499,2,44,Neither Agree nor Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,1,Against,It is natural to eat meat,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
48,1647023977892,11/03/2022 18:39:37,6024499,2,45,Somewhat Agree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,1,For,Healthy eating is what most people prefer doing so Veganism does come from such choices.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,5
49,1647023981372,11/03/2022 18:39:41,6024499,2,46,Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,1,For,I have some health reasons for being on a diet,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,2
50,1647023984232,11/03/2022 18:39:44,6024499,2,47,Strongly Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,1,Against,"don't like the taste of vegan food / enjoy the taste of meat or animal produce / ""I eat whatever I want to eat""",Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
51,1647023989532,11/03/2022 18:39:49,6024499,2,48,Strongly Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,2,For,We should not hurt animals without reason if vegan food can easily replace meat,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
52,1647023990594,11/03/2022 18:39:50,6024499,2,49,Strongly Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,3,For,Animal farming is harmful for environment.,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
53,1647023992459,11/03/2022 18:39:52,6024499,2,50,Strongly Disagree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,Human body needs meat to work adequately,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
54,1647023994770,11/03/2022 18:39:54,6024499,2,51,Strongly Disagree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,1,Against,theres no animal cruelty happenning nowdays,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
55,1647023996621,11/03/2022 18:39:56,6024499,2,52,Strongly Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,Animal Breeding increases pollution,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,7
56,1647024002045,11/03/2022 18:40:02,6024499,2,53,Neither Agree nor Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,2,For,don't like the taste of meat / prefer the taste of vegan food,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,4
57,1647024005680,11/03/2022 18:40:05,6024499,2,54,Disagree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,It will bring health consequences in long term not eating meat,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,2
58,1647024010798,11/03/2022 18:40:10,6024499,2,55,Neither Agree nor Disagree,statements,89,Rarely,A few times a year,25,Male,"Undergraduate degree (BSc, BA)",3,For,being a vegan will help you lose excess weight,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,4
59,1647024013298,11/03/2022 18:40:13,6024499,2,56,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",3,Against,I'm not vegan because meat have good nutrients,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
60,1647024016510,11/03/2022 18:40:16,6024499,2,57,Agree,statements,84,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",1,For,I am  veagn because I respect animals and don't want them hurt,Somewhat Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
61,1647024027823,11/03/2022 18:40:27,6024499,2,58,Strongly Agree,statements,86,Once or twice a year,Once or twice a year,18,Male,A levels,2,For,because the cruelty the animals suffer when they are reproduced in mass,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
62,1647024031891,11/03/2022 18:40:31,6024499,2,59,Strongly Agree,statements,87,Once or twice a year,Rarely,19,Male,A levels,3,For,want to save animals from being slaughtered,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,7
63,1647024033531,11/03/2022 18:40:33,6024499,2,60,Strongly Agree,statements,90,A few times a year,A few times a year,19,Male,A levels,2,For,We need to save the animals.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,7
64,1647024040615,11/03/2022 18:40:40,6024499,2,61,Strongly Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,2,Against,non-vegan food is easier to balance regarding nutritions / vegan food doesn't provide all necessary nutritions,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
65,1647024042896,11/03/2022 18:40:42,6024499,2,62,Somewhat Agree,statements,90,A few times a year,A few times a year,19,Male,A levels,1,For,Its healthier for you.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,5
3,1647022973978,11/03/2022 18:22:53,6024625,2,1,Strongly Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,3,Against,There is not enough concrete evidence that a vegan diet can replace a diet that contains meat and animal products.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
4,1647022980090,11/03/2022 18:23:00,6024625,2,2,Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,2,Against,non-vegan food is easier to balance regarding nutritions / vegan food doesn't provide all necessary nutritions,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,2
5,1647022984204,11/03/2022 18:23:04,6024625,2,3,Somewhat Disagree,statements,87,Once or twice a year,Rarely,19,Male,A levels,3,Against,don't want to be associated with vegans,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,3
6,1647022988604,11/03/2022 18:23:08,6024625,2,4,Agree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",2,For,"Good for the planet, reducing animal slaugther which in turn reduces co2 emissions for a greener planet",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,6
7,1647022990689,11/03/2022 18:23:10,6024625,2,5,Strongly Disagree,statements,90,A few times a year,A few times a year,19,Male,A levels,2,Against,Most vegan foods taste terrible.,Disagree,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
9,1647022997268,11/03/2022 18:23:17,6024625,2,7,Strongly Disagree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,2,Against,veggies taste bad when eaten alone therefore meat is neccesary.,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
10,1647022998723,11/03/2022 18:23:18,6024625,2,8,Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,1,For,Vegan diet is more healthy,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,6
11,1647023001414,11/03/2022 18:23:21,6024625,2,9,Strongly Disagree,statements,82,Once or twice a year,A few times a year,NA,Female,Vocational Training / Apprenticeship,3,Against,veggies alone are not filling so meat will atleast assist in that area,Strongly agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
12,1647023003951,11/03/2022 18:23:23,6024625,2,10,Strongly Agree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,3,For,Animal farming is harmful for environment.,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,7
13,1647023005790,11/03/2022 18:23:25,6024625,2,11,Strongly Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",1,Against,"I like eating meat, it is something that gives joy to me and my family",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,1
14,1647023007525,11/03/2022 18:23:27,6024625,2,12,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",1,Against,I'm not vegan because meat tastes good,Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
15,1647023009263,11/03/2022 18:23:29,6024625,2,13,Strongly Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,2,Against,Without meat you cannot get essential elements,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
16,1647023012917,11/03/2022 18:23:32,6024625,2,14,Strongly Disagree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,Meat is tasty and not necessarily means pain to animals,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,1
17,1647023016704,11/03/2022 18:23:36,6024625,2,15,Strongly Disagree,statements,85,A few times a year,A few times a year,24,Male,"Undergraduate degree (BSc, BA)",2,Against,"I'm not vegan because humans should eat animals, we're on the top of the chain",Somewhat Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,1
18,1647023019058,11/03/2022 18:23:39,6024625,2,16,Strongly Agree,statements,88,A few times a year,Rarely,33,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,Animal Breeding increases pollution,Somewhat Agree,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Vegan,7
19,1647023034902,11/03/2022 18:23:54,6024625,2,17,Neither Agree nor Disagree,statements,81,Never,Most months,25,Male,"Undergraduate degree (BSc, BA)",1,For,"standing and living for a healthier life and diet, eating healthier foods and fats, and taking away all animal products that may be unhealthy",Strongly Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Vegan,4
20,1647023037132,11/03/2022 18:23:57,6024625,2,18,Disagree,statements,83,A few times a year,A few times a year,20,Male,No formal qualifications,1,Against,It is natural to eat meat,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Vegan,2
