Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ID,discuss_1,read_1,age,gender,edu,arg_ID,Arg_Position,Arguments,rater_position,response_ratings,position_conf,position_conf_num
42,1659960000000,08/08/2022 11:57,6893972,2,40,Somewhat Disagree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",2,For,It would mean that the rate of infection would go down,Hesitant,3,NA,NA
43,1659960000000,08/08/2022 11:57,6893972,2,41,Strongly Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,For,I believe it is safe.,Hesitant,1,NA,NA
44,1659960000000,08/08/2022 11:57,6893972,2,42,Neither Agree nor Disagree,statements,43,Never,Rarely,27,Female,A levels,1,For,I believe the vaccine is beneficial and will provide protection,Hesitant,4,NA,NA
46,1659960000000,08/08/2022 11:57,6893972,2,44,Neither Agree nor Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,For,It protects me and others around me by reducing the likelihood of me spreading the disease to others.,Hesitant,4,NA,NA
57,1659960000000,08/08/2022 11:58,6893972,2,45,Somewhat Agree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,"It will help protect the general population, and stop the spread of COVID-19",Hesitant,5,NA,NA
58,1659960000000,08/08/2022 11:58,6893972,2,46,Neither Agree nor Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,Against,I feel the vaccine has been developed too quickly and not tested rigorously enough to the sure that it is safe.,Hesitant,4,NA,NA
59,1659960000000,08/08/2022 11:58,6893972,2,47,Somewhat Disagree,statements,48,Rarely,Most months,25,Female,A levels,3,Against,I don't want to be injected to with something that can make me ill.,Hesitant,3,NA,NA
60,1659960000000,08/08/2022 11:58,6893972,2,48,Neither Agree nor Disagree,statements,43,Never,Rarely,27,Female,A levels,1,Against,I do not believe in the benefit of the vaccine,Hesitant,4,NA,NA
61,1659960000000,08/08/2022 11:58,6893972,2,49,Somewhat Agree,statements,43,Never,Rarely,27,Female,A levels,3,Against,I do not believe the vaccination is safe,Hesitant,5,NA,NA
62,1659960000000,08/08/2022 11:58,6893972,2,50,Neither Agree nor Disagree,statements,43,Never,Rarely,27,Female,A levels,2,Against,I am against vaccinations,Hesitant,4,NA,NA
63,1659960000000,08/08/2022 11:58,6893972,2,51,Disagree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",2,Against,You don't know what you are having injected,Hesitant,2,NA,NA
64,1659960000000,08/08/2022 11:58,6893972,2,52,Neither Agree nor Disagree,statements,48,Rarely,Most months,25,Female,A levels,3,For,I have been told it's the right thing by my doctor,Hesitant,4,NA,NA
65,1659960000000,08/08/2022 11:58,6893972,2,53,Somewhat Agree,statements,49,Rarely,A few times a year,38,Male,GCSEs,3,Against,I would rather risk it and rely on immune system.,Hesitant,5,NA,NA
66,1659960000000,08/08/2022 11:58,6893972,2,54,Neither Agree nor Disagree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",1,Against,They haven't had enough time to create the vaccine,Hesitant,4,NA,NA
67,1659960000000,08/08/2022 11:58,6893972,2,55,Neither Agree nor Disagree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",3,For,You can go on holiday,Hesitant,4,NA,NA
68,1659960000000,08/08/2022 11:58,6893972,2,56,Neither Agree nor Disagree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,2,Against,health reasons and I can not take  it,Hesitant,4,NA,NA
69,1659960000000,08/08/2022 11:58,6893972,2,57,Neither Agree nor Disagree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",3,Against,The vaccine may contain something that we have not been told about.,Hesitant,4,NA,NA
70,1659960000000,08/08/2022 11:58,6893972,2,58,Neither Agree nor Disagree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I do not trust the people who have made the vaccine,Hesitant,4,NA,NA
71,1659960000000,08/08/2022 11:58,6893972,2,59,Neither Agree nor Disagree,statements,49,Rarely,A few times a year,38,Male,GCSEs,1,Against,Unsafe and could cause side effects,Hesitant,4,NA,NA
73,1659960000000,08/08/2022 11:58,6893972,2,61,Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,Against,I believe the benefits of the vaccine do not outweigh the risks and believe that covid would be a mild disease for me.,Hesitant,2,NA,NA
74,1659960000000,08/08/2022 11:58,6893972,2,62,Somewhat Disagree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",1,For,It could protect others around me as well as myself,Hesitant,3,NA,NA
3,1659960000000,08/08/2022 11:59,6893976,2,1,Strongly Agree,statements,49,Rarely,A few times a year,38,Male,GCSEs,1,Against,Unsafe and could cause side effects,Hesitant,7,NA,NA
4,1659960000000,08/08/2022 11:59,6893976,2,2,Strongly Agree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",1,Against,A defunct or manipulated research paper is usually brought out on facebook to put into question the vaccines ability to stop transmitting.,Hesitant,7,NA,NA
5,1659960000000,08/08/2022 11:59,6893976,2,3,Somewhat Disagree,statements,43,Never,Rarely,27,Female,A levels,1,For,I believe the vaccine is beneficial and will provide protection,Hesitant,3,NA,NA
7,1659960000000,08/08/2022 11:59,6893976,2,5,Strongly Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,For,I believe it is safe.,Hesitant,1,NA,NA
8,1659960000000,08/08/2022 12:00,6893976,2,6,Neither Agree nor Disagree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",2,Against,We are unsure of any possible side effects,Hesitant,4,NA,NA
9,1659960000000,08/08/2022 12:00,6893976,2,7,Strongly Agree,statements,43,Never,Rarely,27,Female,A levels,1,Against,I do not believe in the benefit of the vaccine,Hesitant,7,NA,NA
10,1659960000000,08/08/2022 12:00,6893976,2,8,Neither Agree nor Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",1,Against,I am allergic to one of the ingredients in the vaccine.,Hesitant,4,NA,NA
11,1659960000000,08/08/2022 12:00,6893976,2,9,Agree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",3,For,I could meet my family again,Hesitant,6,NA,NA
12,1659960000000,08/08/2022 12:00,6893976,2,10,Agree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",3,Against,I've already had covid,Hesitant,6,NA,NA
13,1659960000000,08/08/2022 12:00,6893976,2,11,Strongly Disagree,statements,49,Rarely,A few times a year,38,Male,GCSEs,2,For,It's for the better good.,Hesitant,1,NA,NA
14,1659960000000,08/08/2022 12:00,6893976,2,12,Neither Agree nor Disagree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,I am under the impression that vaccinations and autism are linked,Hesitant,4,NA,NA
15,1659960000000,08/08/2022 12:00,6893976,2,13,Neither Agree nor Disagree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",3,For,I want to be able to be able to participate in group activities.,Hesitant,4,NA,NA
16,1659960000000,08/08/2022 12:00,6893976,2,14,Agree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,I have a weak immune system,Hesitant,6,NA,NA
18,1659960000000,08/08/2022 12:01,6893976,2,16,Somewhat Disagree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",2,For,It would mean that the rate of infection would go down,Hesitant,3,NA,NA
19,1659960000000,08/08/2022 12:01,6893976,2,17,Strongly Agree,statements,48,Rarely,Most months,25,Female,A levels,1,For,I want to be safe against covid,Hesitant,7,NA,NA
20,1659960000000,08/08/2022 12:01,6893976,2,18,Strongly Disagree,statements,43,Never,Rarely,27,Female,A levels,2,For,I believe all vaccines help,Hesitant,1,NA,NA
21,1659960000000,08/08/2022 12:01,6893976,2,19,Strongly Disagree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,It will help protect myself,Hesitant,1,NA,NA
22,1659960000000,08/08/2022 12:01,6893976,2,20,Strongly Agree,statements,49,Rarely,A few times a year,38,Male,GCSEs,2,Against,Don't know what's in them and who created them,Hesitant,7,NA,NA
23,1659960000000,08/08/2022 12:01,6893976,2,21,Strongly Agree,statements,48,Rarely,Most months,25,Female,A levels,3,Against,I don't want to be injected to with something that can make me ill.,Hesitant,7,NA,NA
24,1659960000000,08/08/2022 12:01,6893976,2,22,Strongly Agree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",3,Against,The vaccine may contain something that we have not been told about.,Hesitant,7,NA,NA
25,1659960000000,08/08/2022 12:01,6893976,2,23,Disagree,statements,49,Rarely,A few times a year,38,Male,GCSEs,1,For,It's safe and I want to ensure people around me are safe,Hesitant,2,NA,NA
26,1659960000000,08/08/2022 12:01,6893976,2,24,Somewhat Agree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,2,Against,health reasons and I can not take  it,Hesitant,5,NA,NA
27,1659960000000,08/08/2022 12:01,6893976,2,25,Disagree,statements,49,Rarely,A few times a year,38,Male,GCSEs,3,For,To assist in getting through this pandemic,Hesitant,2,NA,NA
28,1659960000000,08/08/2022 12:01,6893976,2,26,Neither Agree nor Disagree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",3,For,So that I can travel to different countries without hassle.,Hesitant,4,NA,NA
29,1659960000000,08/08/2022 12:01,6893976,2,27,Somewhat Disagree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",1,For,It is a way of protecting from the serious health implications of catching covid.,Hesitant,3,NA,NA
30,1659960000000,08/08/2022 12:02,6893976,2,28,Agree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",2,For,I don't want friends or family to get sick.,Hesitant,6,NA,NA
31,1659960000000,08/08/2022 12:02,6893976,2,29,Strongly Agree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,3,Against,vaccine safety as it has not been out for long,Hesitant,7,NA,NA
32,1659960000000,08/08/2022 12:02,6893976,2,30,Strongly Agree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,3,For,to be able to socialise and go on holiday,Hesitant,7,NA,NA
33,1659960000000,08/08/2022 12:02,6893976,2,31,Somewhat Agree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",1,For,It could protect others around me as well as myself,Hesitant,5,NA,NA
34,1659960000000,08/08/2022 12:02,6893976,2,32,Agree,statements,48,Rarely,Most months,25,Female,A levels,2,For,I want to help keep other people safe from covid,Hesitant,6,NA,NA
35,1659960000000,08/08/2022 12:02,6893976,2,33,Strongly Agree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",2,Against,You don't know what you are having injected,Hesitant,7,NA,NA
36,1659960000000,08/08/2022 12:02,6893976,2,34,Agree,statements,43,Never,Rarely,27,Female,A levels,2,Against,I am against vaccinations,Hesitant,6,NA,NA
37,1659960000000,08/08/2022 12:02,6893976,2,35,Neither Agree nor Disagree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,The vaccine is safe and 95% effective,Hesitant,4,NA,NA
38,1659960000000,08/08/2022 12:02,6893976,2,36,Somewhat Disagree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,"It will help protect the general population, and stop the spread of COVID-19",Hesitant,3,NA,NA
39,1659960000000,08/08/2022 12:02,6893976,2,37,Strongly Agree,statements,43,Never,Rarely,27,Female,A levels,3,Against,I do not believe the vaccination is safe,Hesitant,7,NA,NA
40,1659960000000,08/08/2022 12:02,6893976,2,38,Strongly Agree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",1,Against,That the vaccine isn't safe,Hesitant,7,NA,NA
41,1659960000000,08/08/2022 12:02,6893976,2,39,Strongly Agree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",1,Against,"The vaccines were rushed into distribution, and as a result of that, they may be dangerous or ineffective.",Hesitant,7,NA,NA
42,1659960000000,08/08/2022 12:02,6893976,2,40,Neither Agree nor Disagree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",2,For,So I can see my family and friends without fear of contracting the virus.,Hesitant,4,NA,NA
43,1659960000000,08/08/2022 12:03,6893976,2,41,Strongly Agree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,Against,I believe the benefits of the vaccine do not outweigh the risks and believe that covid would be a mild disease for me.,Hesitant,7,NA,NA
44,1659960000000,08/08/2022 12:03,6893976,2,42,Somewhat Disagree,statements,48,Rarely,Most months,25,Female,A levels,2,Against,I don't think covid is real.,Hesitant,3,NA,NA
45,1659960000000,08/08/2022 12:03,6893976,2,43,Strongly Disagree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",1,For,That the vaccine is safe,Hesitant,1,NA,NA
46,1659960000000,08/08/2022 12:03,6893976,2,44,Somewhat Agree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",1,For,They don't want to get sick,Hesitant,5,NA,NA
47,1659960000000,08/08/2022 12:03,6893976,2,45,Somewhat Disagree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,2,For,the evidence and information relating to the vaccine is positive,Hesitant,3,NA,NA
48,1659960000000,08/08/2022 12:03,6893976,2,46,Strongly Agree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",3,Against,I could become more ill,Hesitant,7,NA,NA
49,1659960000000,08/08/2022 12:03,6893976,2,47,Somewhat Disagree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",2,For,The vaccine is helping to het the Country back to a nee normal,Hesitant,3,NA,NA
50,1659960000000,08/08/2022 12:03,6893976,2,48,Somewhat Agree,statements,50,Most months,Most months,29,Female,"Undergraduate degree (BSc, BA)",3,For,You can go on holiday,Hesitant,5,NA,NA
51,1659960000000,08/08/2022 12:03,6893976,2,49,Strongly Agree,statements,49,Rarely,A few times a year,38,Male,GCSEs,3,Against,I would rather risk it and rely on immune system.,Hesitant,7,NA,NA
52,1659960000000,08/08/2022 12:03,6893976,2,50,Somewhat Agree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",2,Against,The Government are having to insure the vaccines,Hesitant,5,NA,NA
53,1659960000000,08/08/2022 12:03,6893976,2,51,Strongly Agree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",2,Against,The side-effects of taking the vaccine are not worth the hassle of receiving a vaccine.,Hesitant,7,NA,NA
54,1659960000000,08/08/2022 12:04,6893976,2,52,Strongly Agree,statements,44,Most weeks,Most weeks,23,Male,"Undergraduate degree (BSc, BA)",1,For,"So that, if I do contract Covid-19 at any point, the symptoms will be minor and manageable.",Hesitant,7,NA,NA
55,1659960000000,08/08/2022 12:04,6893976,2,53,Neither Agree nor Disagree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,1,For,to protect myself and family,Hesitant,4,NA,NA
56,1659960000000,08/08/2022 12:04,6893976,2,54,Strongly Agree,statements,41,Rarely,Most months,38,Male,"Undergraduate degree (BSc, BA)",3,Against,I don't believe in vaccines as I believe it alters my DNA which will effect my children.,Hesitant,7,NA,NA
57,1659960000000,08/08/2022 12:04,6893976,2,55,Strongly Agree,statements,47,Never,Most months,22,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I do not trust the people who have made the vaccine,Hesitant,7,NA,NA
58,1659960000000,08/08/2022 12:04,6893976,2,56,Strongly Agree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,Against,I feel the vaccine has been developed too quickly and not tested rigorously enough to the sure that it is safe.,Hesitant,7,NA,NA
59,1659960000000,08/08/2022 12:04,6893976,2,57,Somewhat Disagree,statements,46,A few times a year,A few times a year,53,Female,Vocational Training / Apprenticeship,1,Against,government keeping track of us,Hesitant,3,NA,NA
60,1659960000000,08/08/2022 12:04,6893976,2,58,Strongly Agree,statements,48,Rarely,Most months,25,Female,A levels,1,Against,I don't trust what's in the vaccine.,Hesitant,7,NA,NA
61,1659960000000,08/08/2022 12:04,6893976,2,59,Strongly Agree,statements,45,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,For,It protects me and others around me by reducing the likelihood of me spreading the disease to others.,Hesitant,7,NA,NA
62,1659960000000,08/08/2022 12:04,6893976,2,60,Strongly Agree,statements,42,Most days,Most weeks,23,Female,"Undergraduate degree (BSc, BA)",1,Against,They haven't had enough time to create the vaccine,Hesitant,7,NA,NA
63,1659960000000,08/08/2022 12:04,6893976,2,61,Somewhat Agree,statements,48,Rarely,Most months,25,Female,A levels,3,For,I have been told it's the right thing by my doctor,Hesitant,5,NA,NA
64,1659960000000,08/08/2022 12:04,6893976,2,62,Somewhat Agree,statements,43,Never,Rarely,27,Female,A levels,3,For,I want to be protected against covid,Hesitant,5,NA,NA
4,1659954873477,08/08/2022 10:34:33,6893602,2,2,Strongly Disagree,statements,62,A few times a year,Most months,26,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,I see no reason to not get vaccinated and I have been asked to do so,Hesitant,1,NA,NA
5,1659954894132,08/08/2022 10:34:54,6893602,2,3,Somewhat Disagree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,3,Against,the body needs to deal with this natural.,Hesitant,3,NA,NA
6,1659954908929,08/08/2022 10:35:08,6893602,2,4,Disagree,statements,67,Rarely,A few times a year,20,Female,A levels,1,For,"If everyone is vaccinated, vulnerable people will be safer",Hesitant,2,NA,NA
7,1659954913185,08/08/2022 10:35:13,6893602,2,5,Strongly Agree,statements,63,Rarely,A few times a year,38,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,I want to have more freedoms again,Hesitant,7,NA,NA
8,1659954917535,08/08/2022 10:35:17,6893602,2,6,Somewhat Agree,statements,65,Never,A few times a year,36,Male,GCSEs,2,Against,It isn't necessary unless you're a vulnerable person,Hesitant,5,NA,NA
9,1659954924160,08/08/2022 10:35:24,6893602,2,7,Disagree,statements,67,Rarely,A few times a year,20,Female,A levels,3,For,"The quicker society is vaccinated, the quicker normality can return",Hesitant,2,NA,NA
10,1659954929519,08/08/2022 10:35:29,6893602,2,8,Strongly Disagree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,1,For,I don't want to die so i better get one soon.,Hesitant,1,NA,NA
11,1659954934570,08/08/2022 10:35:34,6893602,2,9,Disagree,statements,70,Most months,Most days,21,Female,A levels,3,For,I want to protect those who are vulnerable through herd immunity,Hesitant,2,NA,NA
12,1659954942986,08/08/2022 10:35:42,6893602,2,10,Somewhat Agree,statements,70,Most months,Most days,21,Female,A levels,2,For,I want to be able to go on holiday if there are vaccine passports,Hesitant,5,NA,NA
13,1659954949010,08/08/2022 10:35:49,6893602,2,11,Disagree,statements,61,Most days,Never,33,Female,GCSEs,1,Against,The government are putting a chip inside us,Hesitant,2,NA,NA
14,1659954952042,08/08/2022 10:35:52,6893602,2,12,Strongly Disagree,statements,67,Rarely,A few times a year,20,Female,A levels,1,Against,The vaccine is a tracking device,Hesitant,1,NA,NA
15,1659954959110,08/08/2022 10:35:59,6893602,2,13,Strongly Disagree,statements,61,Most days,Never,33,Female,GCSEs,1,For,Stops us getting covid so bad,Hesitant,1,NA,NA
16,1659954970898,08/08/2022 10:36:10,6893602,2,14,Somewhat Agree,statements,70,Most months,Most days,21,Female,A levels,2,Against,Vaccines aren't effective - there's a new flu jab every year because of mutations,Hesitant,5,NA,NA
17,1659954974113,08/08/2022 10:36:14,6893602,2,15,Strongly Agree,statements,62,A few times a year,Most months,26,Female,"Postgraduate degree (MSc, MA, MPhil)",2,Against,I have a phobia of needles,Hesitant,7,NA,NA
18,1659954977358,08/08/2022 10:36:17,6893602,2,16,Strongly Agree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,2,For,get life back to normal,Hesitant,7,NA,NA
19,1659954983186,08/08/2022 10:36:23,6893602,2,17,Agree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,1,Against,I just don't want one,Hesitant,6,NA,NA
20,1659954990367,08/08/2022 10:36:30,6893602,2,18,Disagree,statements,64,Rarely,Most weeks,27,Female,A levels,3,For,It will help protect me and others around me,Hesitant,2,NA,NA
21,1659954993971,08/08/2022 10:36:33,6893602,2,19,Strongly Disagree,statements,64,Rarely,Most weeks,27,Female,A levels,2,For,They wouldn't give it us if it wasn't safe,Hesitant,1,NA,NA
22,1659955001804,08/08/2022 10:36:41,6893602,2,20,Somewhat Agree,statements,65,Never,A few times a year,36,Male,GCSEs,2,For,I want to protect vulnerable family members,Hesitant,5,NA,NA
23,1659955005720,08/08/2022 10:36:45,6893602,2,21,Agree,statements,61,Most days,Never,33,Female,GCSEs,3,Against,I think it's a scam,Hesitant,6,NA,NA
24,1659955013426,08/08/2022 10:36:53,6893602,2,22,Somewhat Agree,statements,61,Most days,Never,33,Female,GCSEs,2,Against,Don't want foreign bodies in me,Hesitant,5,NA,NA
25,1659955016101,08/08/2022 10:36:56,6893602,2,23,Strongly Agree,statements,67,Rarely,A few times a year,20,Female,A levels,2,Against,The development has been rushed,Hesitant,7,NA,NA
26,1659955020266,08/08/2022 10:37:00,6893602,2,24,Neither Agree nor Disagree,statements,62,A few times a year,Most months,26,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,I want to protect others from covid,Hesitant,4,NA,NA
27,1659955025099,08/08/2022 10:37:05,6893602,2,25,Disagree,statements,61,Most days,Never,33,Female,GCSEs,3,For,Protecting others from the virus,Hesitant,2,NA,NA
28,1659955028672,08/08/2022 10:37:08,6893602,2,26,Disagree,statements,63,Rarely,A few times a year,38,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,I want to be protected,Hesitant,2,NA,NA
29,1659955033106,08/08/2022 10:37:13,6893602,2,27,Disagree,statements,63,Rarely,A few times a year,38,Female,"Postgraduate degree (MSc, MA, MPhil)",3,Against,I don't believe in vaccinations,Hesitant,2,NA,NA
30,1659955039551,08/08/2022 10:37:19,6893602,2,28,Agree,statements,69,Rarely,Once or twice a year,42,Female,"Undergraduate degree (BSc, BA)",1,Against,It was developed too quickly so doesnât work well,Hesitant,6,NA,NA
31,1659955046067,08/08/2022 10:37:26,6893602,2,29,Somewhat Disagree,statements,62,A few times a year,Most months,26,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,I want to protect myself from covid,Hesitant,3,NA,NA
32,1659955052466,08/08/2022 10:37:32,6893602,2,30,Somewhat Agree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,3,For,social presser to get one,Hesitant,5,NA,NA
33,1659955068828,08/08/2022 10:37:48,6893602,2,31,Strongly Disagree,statements,66,Most months,Most weeks,18,Male,A levels,2,Against,Studies have shown that vaccination provides a strong boost in protection in people who have recovered from COVID-19.,Hesitant,1,NA,NA
34,1659955077050,08/08/2022 10:37:57,6893602,2,32,Somewhat Agree,statements,68,Most months,A few times a year,35,Male,Vocational Training / Apprenticeship,2,Against,i dont trust there ......,Hesitant,5,NA,NA
35,1659955079855,08/08/2022 10:37:59,6893602,2,33,Neither Agree nor Disagree,statements,67,Rarely,A few times a year,20,Female,A levels,3,Against,The vaccine is dangerous,Hesitant,4,NA,NA
36,1659955082773,08/08/2022 10:38:02,6893602,2,34,Somewhat Disagree,statements,69,Rarely,Once or twice a year,42,Female,"Undergraduate degree (BSc, BA)",3,Against,I don't believe in COVID-19,Hesitant,3,NA,NA
37,1659955089600,08/08/2022 10:38:09,6893602,2,35,Strongly Disagree,statements,66,Most months,Most weeks,18,Male,A levels,3,Against,Although it seems that the vaccine making process has been rushed it has still gone through the normal rigorous testing required to make sure its safe.,Hesitant,1,NA,NA
38,1659955093670,08/08/2022 10:38:13,6893602,2,36,Somewhat Agree,statements,64,Rarely,Most weeks,27,Female,A levels,1,Against,It's harmful to the human body,Hesitant,5,NA,NA
39,1659955097595,08/08/2022 10:38:17,6893602,2,37,Disagree,statements,69,Rarely,Once or twice a year,42,Female,"Undergraduate degree (BSc, BA)",3,For,It's safe and developed by experts,Hesitant,2,NA,NA
40,1659955099805,08/08/2022 10:38:19,6893602,2,38,Somewhat Disagree,statements,61,Most days,Never,33,Female,GCSEs,2,For,Protect us from virus,Hesitant,3,NA,NA
41,1659955105825,08/08/2022 10:38:25,6893602,2,39,Agree,statements,65,Never,A few times a year,36,Male,GCSEs,1,Against,There hasn't been enough time to develop it safely,Hesitant,6,NA,NA
42,1659955114492,08/08/2022 10:38:34,6893602,2,40,Disagree,statements,66,Most months,Most weeks,18,Male,A levels,1,For,I'm classed in a vulnerable category so getting the vaccine would help reduce the risk f me catching it and getting serious symptoms,Hesitant,2,NA,NA
43,1659955117122,08/08/2022 10:38:37,6893602,2,41,Strongly Disagree,statements,69,Rarely,Once or twice a year,42,Female,"Undergraduate degree (BSc, BA)",1,For,It protects you and your family against the virus,Hesitant,1,NA,NA
44,1659955124829,08/08/2022 10:38:44,6893602,2,42,Disagree,statements,62,A few times a year,Most months,26,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I've read something on social media which has told me not to,Hesitant,2,NA,NA
45,1659955129274,08/08/2022 10:38:49,6893602,2,43,Disagree,statements,66,Most months,Most weeks,18,Male,A levels,3,For,To contribute to herd immunity to help eradicate the virus altogether.,Hesitant,2,NA,NA
46,1659955134974,08/08/2022 10:38:54,6893602,2,44,Strongly Disagree,statements,70,Most months,Most days,21,Female,A levels,3,Against,Coronavirus doesn't exist/is a conspiracy,Hesitant,1,NA,NA
47,1659955140764,08/08/2022 10:39:00,6893602,2,45,Strongly Disagree,statements,66,Most months,Most weeks,18,Male,A levels,1,Against,The vaccines are effective as they can keep you from getting and spreading the virus that causes COVID-19.,Hesitant,1,NA,NA
48,1659955143735,08/08/2022 10:39:03,6893602,2,46,Strongly Disagree,statements,65,Never,A few times a year,36,Male,GCSEs,3,Against,I believe it's a conspiracy,Hesitant,1,NA,NA
50,1659955161944,08/08/2022 10:39:21,6893602,2,48,Somewhat Agree,statements,66,Most months,Most weeks,18,Male,A levels,2,For,Someone I live with is vulnerable too which gives me an incentive to get the vaccine to  keep them safe.,Hesitant,5,NA,NA
51,1659955167383,08/08/2022 10:39:27,6893602,2,49,Agree,statements,64,Rarely,Most weeks,27,Female,A levels,2,Against,It won't work and cause damage to our insides,Hesitant,6,NA,NA
52,1659955173200,08/08/2022 10:39:33,6893602,2,50,Somewhat Agree,statements,70,Most months,Most days,21,Female,A levels,1,Against,I don't know whats in them - how can they produce something effective so quickly,Hesitant,5,NA,NA
53,1659955178099,08/08/2022 10:39:38,6893602,2,51,Disagree,statements,63,Rarely,A few times a year,38,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,I want to protect my loved ones,Hesitant,2,NA,NA
54,1659955182407,08/08/2022 10:39:42,6893602,2,52,Strongly Agree,statements,63,Rarely,A few times a year,38,Female,"Postgraduate degree (MSc, MA, MPhil)",1,Against,I don't know enough about it,Hesitant,7,NA,NA
55,1659955188082,08/08/2022 10:39:48,6893602,2,53,Disagree,statements,69,Rarely,Once or twice a year,42,Female,"Undergraduate degree (BSc, BA)",2,Against,It's dangerous and gives you a dose of covid,Hesitant,2,NA,NA
56,1659955190294,08/08/2022 10:39:50,6893602,2,54,Strongly Agree,statements,70,Most months,Most days,21,Female,A levels,1,For,I want everything to go back to normal,Hesitant,7,NA,NA
