Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
23,1646340000000,03/03/2022 19:59,5934897,7,21,Strongly Agree,statements,43,Most months,Most months,28,Female,A levels,2,For,Less harmful to the planet,Pro,7,PRO,254,84,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
24,1646340000000,03/03/2022 19:59,5934897,7,22,Strongly Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"because animals are not for eating, they are treated badly",Pro,7,PRO,290,84,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
26,1646340000000,03/03/2022 19:59,5934897,7,24,Agree,statements,42,Rarely,Most weeks,36,Female,A levels,3,For,For their own personal health benefits,Pro,6,PRO,249,84,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
29,1646340000000,03/03/2022 20:00,5934897,7,27,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",2,For,"I disagree with intensive farming methods and the way some animals are reared, treated and harmed.",Pro,7,PRO,260,84,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
30,1646340000000,03/03/2022 20:00,5934897,7,28,Neither Agree nor Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",1,For,The environmental impact it causes to be vegan vs the environmental impact it causes not being vegan,Pro,4,PRO,271,84,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
37,1646340000000,03/03/2022 20:00,5934897,7,35,Strongly Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",2,For,A vegan diet is better for your health.,Pro,7,PRO,242,84,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
38,1646340000000,03/03/2022 20:00,5934897,7,36,Strongly Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",1,For,Animals are a form of life and should not be treated as an inferior being when there are plenty of other options,Pro,7,PRO,265,84,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
40,1646340000000,03/03/2022 20:00,5934897,7,38,Strongly Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",3,For,"If we had a better understanding of the way we nourish ourselves through food, people in general would consume less non human-animal products",Pro,7,PRO,273,84,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
41,1646340000000,03/03/2022 20:01,5934897,7,39,Strongly Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",1,For,Loving/caring about nimals,Pro,7,PRO,277,84,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
44,1646340000000,03/03/2022 20:01,5934897,7,42,Strongly Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,because it is better for the environment,Pro,7,PRO,289,84,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
48,1646340000000,03/03/2022 20:01,5934897,7,46,Strongly Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",1,For,animals have a right not to be exploited and murdered,Pro,7,PRO,295,84,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
49,1646340000000,03/03/2022 20:01,5934897,7,47,Strongly Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",3,For,Doing it for health,Pro,7,PRO,279,84,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
51,1646340000000,03/03/2022 20:01,5934897,7,49,Strongly Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",2,For,Protecting Environment,Pro,7,PRO,278,84,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
52,1646340000000,03/03/2022 20:01,5934897,7,50,Strongly Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",2,For,A vegan diet has a minor impact to the climate change and other enviromental issues,Pro,1,PRO,266,84,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
53,1646340000000,03/03/2022 20:01,5934897,7,51,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",1,For,I'm against animal cruelty,Pro,7,PRO,259,84,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
54,1646340000000,03/03/2022 20:01,5934897,7,52,Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",3,For,The opportunity to save money on food shopping,Pro,6,PRO,285,84,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
55,1646340000000,03/03/2022 20:01,5934897,7,53,Strongly Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",1,For,We don't have to eat animal products.,Pro,7,PRO,241,84,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
58,1646340000000,03/03/2022 20:01,5934897,7,56,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",3,For,I choose not to eat animals and animal products because I don't agree with eati these things.,Pro,7,PRO,261,84,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
60,1646340000000,03/03/2022 20:01,5934897,7,58,Somewhat Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",2,For,The opportunity to improve health,Pro,5,PRO,284,84,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
62,1646340000000,03/03/2022 20:02,5934897,7,60,Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",3,For,consuming animal products is detrimental to your health,Pro,6,PRO,297,84,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
63,1646340000000,03/03/2022 20:02,5934897,7,61,Strongly Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",2,For,animal agriculture is a leading cause of climate change,Pro,7,PRO,296,84,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
3,1646340000000,03/03/2022 20:02,5934947,7,1,Strongly Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",2,For,The whole animal based consumption industry is horrific,Pro,7,PRO,272,88,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
4,1646340000000,03/03/2022 20:02,5934947,7,2,Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",2,For,A vegan diet has a minor impact to the climate change and other enviromental issues,Pro,2,PRO,266,88,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
7,1646340000000,03/03/2022 20:02,5934947,7,5,Neither Agree nor Disagree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"because animals are not for eating, they are treated badly",Pro,4,PRO,290,88,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
8,1646340000000,03/03/2022 20:02,5934947,7,6,Strongly Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",1,For,animals have a right not to be exploited and murdered,Pro,7,PRO,295,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
10,1646340000000,03/03/2022 20:02,5934947,7,8,Neither Agree nor Disagree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",3,For,Doing it for health,Pro,4,PRO,279,88,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
15,1646340000000,03/03/2022 20:03,5934947,7,13,Strongly Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",2,For,A vegan diet is better for your health.,Pro,7,PRO,242,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
17,1646340000000,03/03/2022 20:04,5934947,7,15,Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",3,For,"If we had a better understanding of the way we nourish ourselves through food, people in general would consume less non human-animal products",Pro,6,PRO,273,88,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
18,1646340000000,03/03/2022 20:04,5934947,7,16,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,3,For,For their own personal health benefits,Pro,4,PRO,249,88,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
21,1646340000000,03/03/2022 20:04,5934947,7,19,Neither Agree nor Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",2,For,The opportunity to improve health,Pro,4,PRO,284,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
22,1646340000000,03/03/2022 20:04,5934947,7,20,Neither Agree nor Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",3,For,The opportunity to save money on food shopping,Pro,4,PRO,285,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
23,1646340000000,03/03/2022 20:04,5934947,7,21,Neither Agree nor Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",1,For,The opportunity to improve Animal Welfare,Pro,4,PRO,283,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
25,1646340000000,03/03/2022 20:04,5934947,7,23,Neither Agree nor Disagree,statements,43,Most months,Most months,28,Female,A levels,3,For,Health benefits for your body if you follow a whole foods diet,Pro,4,PRO,255,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
28,1646340000000,03/03/2022 20:05,5934947,7,26,Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",2,For,animal agriculture is a leading cause of climate change,Pro,6,PRO,296,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
30,1646340000000,03/03/2022 20:05,5934947,7,28,Strongly Agree,statements,42,Rarely,Most weeks,36,Female,A levels,1,For,To not cause suffering to the animals (ethics),Pro,7,PRO,247,88,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
32,1646340000000,03/03/2022 20:05,5934947,7,30,Neither Agree nor Disagree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",1,For,The environmental impact it causes to be vegan vs the environmental impact it causes not being vegan,Pro,4,PRO,271,88,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
34,1646340000000,03/03/2022 20:05,5934947,7,32,Strongly Disagree,statements,43,Most months,Most months,28,Female,A levels,1,For,Not harmful to the animals,Pro,1,PRO,253,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
36,1646340000000,03/03/2022 20:05,5934947,7,34,Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",3,For,The amount of cereals used to feed livestock when it could be used to feed many more people than the products that will result from it,Pro,6,PRO,267,88,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
38,1646340000000,03/03/2022 20:05,5934947,7,36,Strongly Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",3,For,Animals want to live and have feelings.,Pro,7,PRO,243,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
40,1646340000000,03/03/2022 20:05,5934947,7,38,Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",2,For,Protecting Environment,Pro,6,PRO,278,88,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
41,1646340000000,03/03/2022 20:06,5934947,7,39,Agree,statements,42,Rarely,Most weeks,36,Female,A levels,2,For,To help the health of the wider environment,Pro,6,PRO,248,88,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
46,1646340000000,03/03/2022 20:06,5934947,7,44,Neither Agree nor Disagree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,because it is better for the environment,Pro,4,PRO,289,88,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
48,1646340000000,03/03/2022 20:06,5934947,7,46,Neither Agree nor Disagree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",3,For,consuming animal products is detrimental to your health,Pro,4,PRO,297,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
52,1646340000000,03/03/2022 20:06,5934947,7,50,Strongly Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",1,For,Loving/caring about nimals,Pro,7,PRO,277,88,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
53,1646340000000,03/03/2022 20:06,5934947,7,51,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",2,For,"I disagree with intensive farming methods and the way some animals are reared, treated and harmed.",Pro,7,PRO,260,88,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
54,1646340000000,03/03/2022 20:06,5934947,7,52,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",3,For,I choose not to eat animals and animal products because I don't agree with eati these things.,Pro,7,PRO,261,88,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
55,1646340000000,03/03/2022 20:06,5934947,7,53,Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,it is healthier to eat plant based,Pro,6,PRO,291,88,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
56,1646340000000,03/03/2022 20:07,5934947,7,54,Strongly Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",1,For,Animals are a form of life and should not be treated as an inferior being when there are plenty of other options,Pro,7,PRO,265,88,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
57,1646340000000,03/03/2022 20:07,5934947,7,55,Strongly Agree,statements,43,Most months,Most months,28,Female,A levels,2,For,Less harmful to the planet,Pro,7,PRO,254,88,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
59,1646340000000,03/03/2022 20:07,5934947,7,57,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",1,For,I'm against animal cruelty,Pro,7,PRO,259,88,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
62,1646340000000,03/03/2022 20:07,5934947,7,60,Strongly Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",1,For,We don't have to eat animal products.,Pro,7,PRO,241,88,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
4,1646340000000,03/03/2022 20:06,5934906,7,2,Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",1,For,because it is better for the environment,Pro,6,PRO,289,85,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
5,1646340000000,03/03/2022 20:06,5934906,7,3,Agree,statements,43,Most months,Most months,28,Female,A levels,2,For,Less harmful to the planet,Pro,6,PRO,254,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
6,1646340000000,03/03/2022 20:07,5934906,7,4,Strongly Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",1,For,The opportunity to improve Animal Welfare,Pro,7,PRO,283,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
7,1646340000000,03/03/2022 20:07,5934906,7,5,Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",2,For,Protecting Environment,Pro,6,PRO,278,85,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
8,1646340000000,03/03/2022 20:07,5934906,7,6,Strongly Agree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",2,For,The opportunity to improve health,Pro,7,PRO,284,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
10,1646340000000,03/03/2022 20:07,5934906,7,8,Neither Agree nor Disagree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"because animals are not for eating, they are treated badly",Pro,4,PRO,290,85,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
11,1646340000000,03/03/2022 20:07,5934906,7,9,Agree,statements,43,Most months,Most months,28,Female,A levels,3,For,Health benefits for your body if you follow a whole foods diet,Pro,6,PRO,255,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
13,1646340000000,03/03/2022 20:07,5934906,7,11,Strongly Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",3,For,it is healthier to eat plant based,Pro,7,PRO,291,85,For,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
17,1646340000000,03/03/2022 20:07,5934906,7,15,Neither Agree nor Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",3,For,The amount of cereals used to feed livestock when it could be used to feed many more people than the products that will result from it,Pro,4,PRO,267,85,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
18,1646340000000,03/03/2022 20:07,5934906,7,16,Neither Agree nor Disagree,statements,48,Most months,Most weeks,27,Male,"Undergraduate degree (BSc, BA)",3,For,The opportunity to save money on food shopping,Pro,4,PRO,285,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
19,1646340000000,03/03/2022 20:07,5934906,7,17,Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",2,For,A vegan diet is better for your health.,Pro,6,PRO,242,85,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
21,1646340000000,03/03/2022 20:07,5934906,7,19,Neither Agree nor Disagree,statements,42,Rarely,Most weeks,36,Female,A levels,3,For,For their own personal health benefits,Pro,4,PRO,249,85,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
23,1646340000000,03/03/2022 20:07,5934906,7,21,Neither Agree nor Disagree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",1,For,Loving/caring about nimals,Pro,4,PRO,277,85,For,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Baseline,0,NA
24,1646340000000,03/03/2022 20:07,5934906,7,22,Agree,statements,43,Most months,Most months,28,Female,A levels,1,For,Not harmful to the animals,Pro,6,PRO,253,85,For,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
28,1646340000000,03/03/2022 20:08,5934906,7,26,Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",1,For,animals have a right not to be exploited and murdered,Pro,6,PRO,295,85,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
30,1646340000000,03/03/2022 20:08,5934906,7,28,Strongly Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",1,For,I'm against animal cruelty,Pro,7,PRO,259,85,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
32,1646340000000,03/03/2022 20:08,5934906,7,30,Agree,statements,42,Rarely,Most weeks,36,Female,A levels,2,For,To help the health of the wider environment,Pro,6,PRO,248,85,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
33,1646340000000,03/03/2022 20:08,5934906,7,31,Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",2,For,"I disagree with intensive farming methods and the way some animals are reared, treated and harmed.",Pro,6,PRO,260,85,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
34,1646340000000,03/03/2022 20:08,5934906,7,32,Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",1,For,Animals are a form of life and should not be treated as an inferior being when there are plenty of other options,Pro,6,PRO,265,85,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
36,1646340000000,03/03/2022 20:08,5934906,7,34,Agree,statements,42,Rarely,Most weeks,36,Female,A levels,1,For,To not cause suffering to the animals (ethics),Pro,6,PRO,247,85,For,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Baseline,0,NA
41,1646340000000,03/03/2022 20:08,5934906,7,39,Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",1,For,We don't have to eat animal products.,Pro,6,PRO,241,85,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
42,1646340000000,03/03/2022 20:09,5934906,7,40,Somewhat Agree,statements,46,Most weeks,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",3,For,"If we had a better understanding of the way we nourish ourselves through food, people in general would consume less non human-animal products",Pro,5,PRO,273,85,For,Somewhat Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Disagree,Baseline,0,NA
44,1646340000000,03/03/2022 20:09,5934906,7,42,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",3,For,Animals want to live and have feelings.,Pro,4,PRO,243,85,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Baseline,0,NA
48,1646340000000,03/03/2022 20:09,5934906,7,46,Neither Agree nor Disagree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",3,For,I choose not to eat animals and animal products because I don't agree with eati these things.,Pro,4,PRO,261,85,For,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Baseline,0,NA
50,1646340000000,03/03/2022 20:09,5934906,7,48,Somewhat Disagree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",2,For,A vegan diet has a minor impact to the climate change and other enviromental issues,Pro,3,PRO,266,85,For,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Baseline,0,NA
53,1646340000000,03/03/2022 20:09,5934906,7,51,Somewhat Agree,statements,50,A few times a year,Most months,23,Male,"Undergraduate degree (BSc, BA)",3,For,consuming animal products is detrimental to your health,Pro,5,PRO,297,85,For,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
